"_id","_labels","def_int","def_int_long","def_int_td","def_int_yds","fumbles_forced","fumbles_rec","fumbles_rec_td","fumbles_rec_yds","game_code","label","pass_defended","player","player_code","qb_hits","sacks","tackles_assists","tackles_combined","tackles_loss","tackles_solo","team","year","_start","_end","_type"
"207854",":stat_player_game_def","1","49","0","49","0","0","0","0","200709300nyg","200709300nyg_1","1","Omar Gaither","G/GaitOm20","0","0.0","3","10","0","7","PHI","2007",,,
"207855",":stat_player_game_def","0","0","0","0","1","0","0","0","200709160ram","200709160ram_1","0","Bryant Young","Y/YounBr00","2","3.0","0","7","2","7","SFO","2007",,,
"207856",":stat_player_game_def","0","0","0","0","0","0","0","0","200709230was","200709230was_1","0","Mathias Kiwanuka","K/KiwaMa20","2","1.5","3","9","2","6","NYG","2007",,,
"207857",":stat_player_game_def","0","0","0","0","1","0","0","0","200709090nyj","200709090nyj_1","0","Mike Vrabel","V/VrabMi20","2","2.5","1","7","2","6","NWE","2007",,,
"207858",":stat_player_game_def","1","0","0","0","0","0","0","0","200710140chi","200710140chi_2","1","Dwight Smith","S/SmitDw20","0","0.0","0","5","0","5","MIN","2007",,,
"207859",":stat_player_game_def","0","0","0","0","0","0","0","0","200709160rav","200709160rav_2","0","Stacy Tutt","T/TuttSt00","0","0.0","0","1","0","1","NYJ","2007",,,
"207860",":stat_player_game_def","0","0","0","0","0","0","0","0","200709160tam","200709160tam_2","0","Antwan Lake","L/LakeAn20","0","0.0","0","1","0","1","NOR","2007",,,
"207861",":stat_player_game_def","0","0","0","0","0","1","0","15","200710210dal","200710210dal_2","0","Kevin Williams","W/WillKe98","1","1.0","0","1","0","1","MIN","2007",,,
"207862",":stat_player_game_def","0","0","0","0","0","0","0","0","200709090dal","200709090dal_2","0","Justin Tuck","T/TuckJu20","1","1.0","0","4","1","4","NYG","2007",,,
"207863",":stat_player_game_def","0","0","0","0","0","0","0","0","200709160crd","200709160crd_2","0","Alvin Pearman","P/PearAl00","0","0.0","0","1","0","1","SEA","2007",,,
"207864",":stat_player_game_def","0","0","0","0","1","0","0","0","200709160ram","200709160ram_2","0","Nate Clements","C/ClemNa99","1","1.0","0","6","1","6","SFO","2007",,,
"207865",":stat_player_game_def","0","0","0","0","0","0","0","0","200709090nyj","200709090nyj_2","0","Jarvis Green","G/GreeJa21","2","2.0","1","6","3","5","NWE","2007",,,
"207866",":stat_player_game_def","0","0","0","0","1","0","0","0","200709230was","200709230was_2","0","Justin Tuck","T/TuckJu20","1","0.5","1","6","3","5","NYG","2007",,,
"207867",":stat_player_game_def","0","0","0","0","0","1","0","0","200710140chi","200710140chi_3","0","Visanthe Shiancoe","S/ShiaVi00","0","0.0","0","0","0","0","MIN","2007",,,
"207868",":stat_player_game_def","0","0","0","0","0","0","0","0","200709300nyg","200709300nyg_2","0","Jevon Kearse","K/KearJe00","1","1.0","0","3","2","3","PHI","2007",,,
"207869",":stat_player_game_def","0","0","0","0","0","0","0","0","200709160tam","200709160tam_3","0","John Owens","O/OwenJo00","0","0.0","0","1","0","1","NOR","2007",,,
"207870",":stat_player_game_def","0","0","0","0","0","1","0","0","200709090dal","200709090dal_3","0","Ahmad Bradshaw","B/BradAh00","0","0.0","0","2","0","2","NYG","2007",,,
"207871",":stat_player_game_def","","","","","0","0","0","0","200709160crd","200709160crd_3","0","Julian Peterson","P/PeteJu00","0","0.0","2","7","0","5","SEA","2007",,,
"207872",":stat_player_game_def","0","0","0","0","0","0","0","0","200710210dal","200710210dal_3","0","Brian Robison","R/RobiBr98","0","0.5","1","3","0","2","MIN","2007",,,
"207873",":stat_player_game_def","0","0","0","0","0","0","0","0","200709160ram","200709160ram_3","0","Marques Douglas","D/DougMa20","1","1.0","0","5","3","5","SFO","2007",,,
"207874",":stat_player_game_def","0","0","0","0","0","0","0","0","200709090nyj","200709090nyj_3","0","Ty Warren","W/WarrTy20","1","0.5","1","4","0","3","NWE","2007",,,
"207875",":stat_player_game_def","","","","","0","0","0","0","200709160rav","200709160rav_3","2","David Barrett","B/BarrDa22","0","0.0","1","10","1","9","NYJ","2007",,,
"207876",":stat_player_game_def","","","","","1","0","0","0","200710140chi","200710140chi_4","0","E.J. Henderson","H/HendE.20","0","0.0","3","10","3","7","MIN","2007",,,
